ano (uid);ano (nome);local (uid);local (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);grupoetario (uid);grupoetario (nome);escolaridade (uid);escolaridade (nome);conjugal (uid);conjugal (nome);prenatal (uid);prenatal (nome);consultas (uid);consultas (nome);gravidez (uid);gravidez (nome);gestacao (uid);gestacao (nome);parto (uid);parto (nome);lococor (uid);lococor (nome);assistido (uid);assistido (nome);apgar1 (uid);apgar1 (nome);apgar5 (uid);apgar5 (nome);robson (uid);robson (nome);peso (uid);peso (nome);racacor (uid);racacor (nome);sexo (uid);sexo (nome);anomalia (uid);anomalia (nome);funcao (uid);funcao (nome);Kotelchuck (uid);Kotelchuck (nome);abrangencia (uid);abrangencia (nome);localidade (uid);localidade (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;1;País;76;Brasil;248.735;230.349;264.342;262.426;268.724;245.608;246.705;243.961;237.043;237.490;228.568;230.981;2.944.932
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;2;Região;1;Norte;26.064;23.095;26.333;27.040;27.421;25.427;26.846;27.380;27.750;28.339;26.907;26.626;319.228
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;11;Rondônia;2.318;2.113;2.432;2.456;2.492;2.207;2.287;2.283;2.390;2.494;2.240;2.379;28.091
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;12;Acre;1.289;1.217;1.425;1.554;1.483;1.342;1.352;1.504;1.347;1.436;1.299;1.295;16.543
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;13;Amazonas;6.583;5.679;6.475;6.562;6.565;6.147;6.637;6.678;6.825;6.798;6.632;6.506;78.087
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;14;Roraima;1.045;885;1.044;1.026;1.060;1.116;1.094;1.176;1.156;1.263;1.260;1.219;13.344
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;15;Pará;11.545;10.217;11.492;11.788;12.201;11.321;12.073;12.180;12.419;12.713;12.061;11.809;141.819
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;16;Amapá;1.307;1.191;1.233;1.274;1.252;1.204;1.308;1.392;1.514;1.397;1.363;1.429;15.864
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;17;Tocantins;1.977;1.793;2.232;2.380;2.368;2.090;2.095;2.167;2.099;2.238;2.052;1.989;25.480
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;2;Região;2;Nordeste;67.816;63.020;74.323;74.860;77.265;71.174;70.192;69.029;67.699;69.458;65.541;66.473;836.850
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;21;Maranhão;9.593;8.357;9.662;10.081;10.292;9.649;9.876;9.841;10.246;10.335;9.543;9.681;117.156
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;22;Piauí;3.922;3.622;4.199;4.331;4.474;4.077;4.129;4.028;4.108;4.344;4.093;4.163;49.490
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;23;Ceará;10.505;9.874;11.353;11.653;12.036;11.107;10.349;11.128;10.861;11.227;10.664;10.734;131.491
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;24;Rio Grande do Norte;3.821;3.693;4.355;4.346;4.429;4.041;4.221;3.881;3.845;3.934;3.751;3.790;48.107
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;25;Paraíba;4.849;4.465;5.373;5.332;5.605;5.101;5.070;4.999;5.034;5.027;4.704;4.646;60.205
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;26;Pernambuco;11.174;10.594;12.469;12.539;13.009;11.910;11.736;11.332;10.748;11.365;10.643;10.798;138.317
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;27;Alagoas;4.202;3.950;4.722;4.765;4.900;4.577;4.485;4.440;4.156;4.356;3.947;3.996;52.496
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;28;Sergipe;2.683;2.636;3.184;3.244;3.331;2.986;2.878;2.812;2.684;2.594;2.585;2.639;34.256
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;29;Bahia;17.067;15.829;19.006;18.569;19.189;17.726;17.448;16.568;16.017;16.276;15.611;16.026;205.332
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;2;Região;3;Sudeste;99.906;93.885;105.401;103.211;106.071;96.105;95.502;93.978;90.237;88.595;86.715;87.400;1.147.006
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;31;Minas Gerais;22.394;20.797;24.028;24.048;24.236;22.318;22.234;21.683;20.761;20.826;20.019;20.296;263.640
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;32;Espírito Santo;4.753;4.637;5.152;5.102;5.357;4.754;4.915;4.641;4.437;4.349;4.332;4.292;56.721
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;33;Rio de Janeiro;19.906;18.496;20.216;19.561;20.415;18.526;18.433;18.079;17.281;16.526;16.533;16.527;220.499
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;35;São Paulo;52.853;49.955;56.005;54.500;56.063;50.507;49.920;49.575;47.758;46.894;45.831;46.285;606.146
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;2;Região;4;Sul;34.686;31.444;35.915;34.903;35.790;32.563;33.431;32.944;31.467;31.167;30.308;31.239;395.857
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;41;Paraná;13.734;12.413;14.225;13.915;14.312;12.846;13.084;13.055;12.415;12.335;11.906;11.961;156.201
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;42;Santa Catarina;8.451;7.749;8.945;8.765;8.979;8.112;8.463;8.329;8.137;7.775;7.854;8.050;99.609
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;43;Rio Grande do Sul;12.501;11.282;12.745;12.223;12.499;11.605;11.884;11.560;10.915;11.057;10.548;11.228;140.047
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;2;Região;5;Centro-Oeste;20.263;18.905;22.370;22.412;22.177;20.339;20.734;20.630;19.890;19.931;19.097;19.243;245.991
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;50;Mato Grosso do Sul;3.701;3.529;4.181;3.986;4.054;3.691;3.802;3.667;3.491;3.469;3.316;3.388;44.275
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;51;Mato Grosso;4.770;4.430;5.190;5.483;5.188;4.798;4.994;4.950;4.699;4.841;4.636;4.670;58.649
2018;2018;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;52;Goiás;8.123;7.554;9.010;9.034;8.980;8.160;8.140;8.342;8.114;8.014;7.667;7.734;98.872
